,Ligand 1,Ligand 2,Ligand 3,Ligand 4,Ligand 5,Ligand 6,Ligand 7,Ligand 8,Ligand 9,Ligand 10,Ligand 11,Ligand 12,Ligand 13,Ligand 14,Ligand 15,Ligand 16,Ligand 17,Ligand 18,Ligand 19,Ligand 20,Ligand 21,Ligand 22,Ligand 23,Ligand 24,Ligand 25
Ligand 1,0.0,3.667682309847061,5.148876235620402,5.124218363472642,5.004792672774478,5.082424650330466,4.886055908077251,2.3325553473257457,3.6343863539434538,4.76639564043889,5.17098959084738,5.124136386316819,5.061078335770223,5.203519681197554,3.4278664028780925,3.6467157983128073,4.099850979271871,5.106243325049037,5.417858221717427,4.89074466001893,4.773800144074292,5.0572901679335835,5.260640905359435,3.665377085815232,4.908077406102652
Ligand 2,3.667682309847061,0.0,2.75185936611859,2.8021183196641366,2.878870863129551,2.9271225495746243,2.7721695397965687,2.857450734708608,1.2944626101902108,2.3531620146393544,2.7462797789504925,2.9052865580678766,2.7656457709422733,2.8796604948703433,0.9942718704897322,1.0496715227757178,1.1617591499883149,2.7481690974002935,3.2697240082887578,2.7917074636459662,2.579776793712363,2.6101225932775276,2.9161762583927926,1.3571499972385497,2.717946974036924
Ligand 3,5.148876235620402,2.75185936611859,0.0,1.2212539504786952,1.487350885318766,1.2196476135157406,1.4309612874996875,4.29085543706809,2.3308591574277298,1.3547048658586534,1.2427619361379918,1.62464866464962,1.3531769647040282,1.0510717441297808,2.7507845325610667,2.5257717996258555,3.290545998285873,1.4282955373430606,1.3034079506166512,1.1500787810441493,1.3612431501192406,1.0199225408995205,1.60439953766363,2.419652903157829,1.0001812938833594
Ligand 4,5.124218363472642,2.8021183196641366,1.2212539504786952,0.0,1.230851352262032,0.7802594296493792,1.0316506942947652,4.288263429395366,2.3831866469357714,1.1597460044532517,0.8982028196133767,0.9774201580045446,0.9335947114196379,1.1847932908858576,2.8128692185141055,2.5622259547163995,3.263293024087792,0.8799040751270599,0.9871030038367993,1.1541179170086107,0.8091514480252604,1.155573013465309,1.0412900595435108,2.8201860442292745,1.7102272047742841
Ligand 5,5.004792672774478,2.878870863129551,1.487350885318766,1.230851352262032,0.0,1.2533715946562418,1.1858699543325868,4.349785919114437,2.357667648740896,1.384035502082521,1.0886503437883812,1.1730536224712569,1.092124538955153,1.219995597652388,2.821943716693942,2.56319134661574,3.4264556311737002,1.2778215479420567,1.1946600287330496,1.2410418079081582,1.2890105664857932,1.2921720863495847,1.0641153589177603,2.8689338968982456,1.572096659071865
Ligand 6,5.082424650330466,2.9271225495746243,1.2196476135157406,0.7802594296493792,1.2533715946562418,0.0,0.9605215575041035,4.294701433318507,2.4044686745486463,1.2206100148313244,0.9789269400144958,0.9175866010724008,1.0746162296602144,1.1085768227334576,2.81825232569771,2.543736742013313,3.4098151609818803,0.9612584525981984,1.0917437106693648,1.0183007988091128,0.8244568440373298,1.1956102625367497,1.1092578117043181,2.7500671269728896,1.4500701082624863
Ligand 7,4.886055908077251,2.7721695397965687,1.4309612874996875,1.0316506942947652,1.1858699543325868,0.9605215575041035,0.0,4.278544624771149,2.2816192959211246,1.2483801425011132,0.686469299924349,0.8553759326185959,1.1370219894236118,1.3173223783336268,2.6237396719479418,2.451965950076689,3.4223152947776265,1.0634118977098166,1.2097567723639675,1.3086217004806928,1.1256780970145028,1.452394298942858,1.0153547522943218,2.707400540782179,1.7007227433768135
Ligand 8,2.3325553473257457,2.857450734708608,4.29085543706809,4.288263429395366,4.349785919114437,4.294701433318507,4.278544624771149,0.0,2.9058231472189773,4.007192689669989,4.411064182090329,4.4061960857065205,4.254409842927243,4.423524557213632,2.8138565415547885,2.9693108909649086,3.0552914682684262,4.322138161133996,4.684389286463322,4.139932569045154,3.9140754948220744,4.202532856322625,4.481023131153213,2.8795104617603413,4.0938784815098614
Ligand 9,3.6343863539434538,1.2944626101902108,2.3308591574277298,2.3831866469357714,2.357667648740896,2.4044686745486463,2.2816192959211246,2.9058231472189773,0.0,1.9659735926779578,2.350760043609019,2.4109061129903226,2.201939184787492,2.3891606464037634,1.1577519061106922,0.94598340137868,2.0270507121087977,2.2809467549590745,2.773233280074418,2.3259785030537574,2.099475582119984,2.1982511916836676,2.447332818815072,1.2140682740442035,2.3038727425313894
Ligand 10,4.76639564043889,2.3531620146393544,1.3547048658586534,1.1597460044532517,1.384035502082521,1.2206100148313244,1.2483801425011132,4.007192689669989,1.9659735926779578,0.0,1.214713830255846,1.189743835262496,0.9757705121840466,1.389879684589984,2.5422353620218803,2.2084339498559213,2.9216243207974224,0.8645753452320414,1.4861125464860918,1.2007143151010518,1.1715915072741423,1.1563390749050833,1.269913392240488,2.41999749331421,1.579433224032524
Ligand 11,5.17098959084738,2.7462797789504925,1.2427619361379918,0.8982028196133767,1.0886503437883812,0.9789269400144958,0.686469299924349,4.411064182090329,2.350760043609019,1.214713830255846,0.0,0.9839964826616168,0.986668640260082,1.0846334282775774,2.7005265575009765,2.4886956240489795,3.288523938837638,0.8971938323172768,1.1135381097193977,1.3161357597968935,1.1870016621166966,1.1777634940043933,0.852338969058409,2.751371915234113,1.625143329634134
Ligand 12,5.124136386316819,2.9052865580678766,1.62464866464962,0.9774201580045446,1.1730536224712569,0.9175866010724008,0.8553759326185959,4.4061960857065205,2.4109061129903226,1.189743835262496,0.9839964826616168,0.0,0.9907229322910243,1.304385220207619,2.8660734482161923,2.571261823503121,3.4264351986536847,0.916522118362376,1.1545732446449308,1.2656838027786976,1.0252380838917903,1.3771685195614454,0.6929589793409487,2.927486305428988,1.869357846361968
Ligand 13,5.061078335770223,2.7656457709422733,1.3531769647040282,0.9335947114196379,1.092124538955153,1.0746162296602144,1.1370219894236118,4.254409842927243,2.201939184787492,0.9757705121840466,0.986668640260082,0.9907229322910243,0.0,1.1477731098487811,2.8090522593877103,2.5038370045447884,3.3004330274462603,0.736470428205823,1.0954436196574568,1.2865429086025664,1.052569132587315,1.0892476566860836,0.7939027399884927,2.7413195252900597,1.7340344376154695
Ligand 14,5.203519681197554,2.8796604948703433,1.0510717441297808,1.1847932908858576,1.219995597652388,1.1085768227334576,1.3173223783336268,4.423524557213632,2.3891606464037634,1.389879684589984,1.0846334282775774,1.304385220207619,1.1477731098487811,0.0,2.8679948491336003,2.6033414746513195,3.4048705171769464,1.0704278726774181,1.1248460718367956,1.1466251894245905,1.4090924559387241,0.8486992780210445,1.2359928786961423,2.708384996384605,1.3242233817302884
Ligand 15,3.4278664028780925,0.9942718704897322,2.7507845325610667,2.8128692185141055,2.821943716693942,2.81825232569771,2.6237396719479418,2.8138565415547885,1.1577519061106922,2.5422353620218803,2.7005265575009765,2.8660734482161923,2.8090522593877103,2.8679948491336003,0.0,0.7134709752467379,1.6880305722845241,2.821299339191158,3.2204425979324363,2.7663660583190706,2.554912350691325,2.6762161183229405,2.906246396825987,1.144053161917399,2.6989507715610617
Ligand 16,3.6467157983128073,1.0496715227757178,2.5257717996258555,2.5622259547163995,2.56319134661574,2.543736742013313,2.451965950076689,2.9693108909649086,0.94598340137868,2.2084339498559213,2.4886956240489795,2.571261823503121,2.5038370045447884,2.6033414746513195,0.7134709752467379,0.0,1.6412580478014538,2.5040158797426524,2.9431033715084656,2.4938159527297024,2.3218948852663646,2.3879502530089667,2.6014510580485415,1.0573859418240177,2.472027876530161
Ligand 17,4.099850979271871,1.1617591499883149,3.290545998285873,3.263293024087792,3.4264556311737002,3.4098151609818803,3.4223152947776265,3.0552914682684262,2.0270507121087977,2.9216243207974224,3.288523938837638,3.4264351986536847,3.3004330274462603,3.4048705171769464,1.6880305722845241,1.6412580478014538,0.0,3.2415228249108305,3.8282486412105943,3.3593416907263367,3.0617013342463064,3.050915064396644,3.39537362591946,2.006417468915757,3.2723081505098786
Ligand 18,5.106243325049037,2.7481690974002935,1.4282955373430606,0.8799040751270599,1.2778215479420567,0.9612584525981984,1.0634118977098166,4.322138161133996,2.2809467549590745,0.8645753452320414,0.8971938323172768,0.916522118362376,0.736470428205823,1.0704278726774181,2.821299339191158,2.5040158797426524,3.2415228249108305,0.0,1.185857780919082,1.248218538500679,1.174740102047549,1.037011753822429,0.8677865395165846,2.7775550463769583,1.7652188571520153
Ligand 19,5.417858221717427,3.2697240082887578,1.3034079506166512,0.9871030038367993,1.1946600287330496,1.0917437106693648,1.2097567723639675,4.684389286463322,2.773233280074418,1.4861125464860918,1.1135381097193977,1.1545732446449308,1.0954436196574568,1.1248460718367956,3.2204425979324363,2.9431033715084656,3.8282486412105943,1.185857780919082,0.0,1.1180350257203724,1.3507113508625872,1.3466695023515898,1.1315200458549752,3.112005861984524,1.793713751331063
Ligand 20,4.89074466001893,2.7917074636459662,1.1500787810441493,1.1541179170086107,1.2410418079081582,1.0183007988091128,1.3086217004806928,4.139932569045154,2.3259785030537574,1.2007143151010518,1.3161357597968935,1.2656838027786976,1.2865429086025664,1.1466251894245905,2.7663660583190706,2.4938159527297024,3.3593416907263367,1.248218538500679,1.1180350257203724,0.0,1.141587057869139,0.9716273891452232,1.397377952446842,2.595411792503053,1.4212035994298902
Ligand 21,4.773800144074292,2.579776793712363,1.3612431501192406,0.8091514480252604,1.2890105664857932,0.8244568440373298,1.1256780970145028,3.9140754948220744,2.099475582119984,1.1715915072741423,1.1870016621166966,1.0252380838917903,1.052569132587315,1.4090924559387241,2.554912350691325,2.3218948852663646,3.0617013342463064,1.174740102047549,1.3507113508625872,1.141587057869139,0.0,1.2873084262181458,1.1921384311979433,2.540731328456881,1.563377080350163
Ligand 22,5.0572901679335835,2.6101225932775276,1.0199225408995205,1.155573013465309,1.2921720863495847,1.1956102625367497,1.452394298942858,4.202532856322625,2.1982511916836676,1.1563390749050833,1.1777634940043933,1.3771685195614454,1.0892476566860836,0.8486992780210445,2.6762161183229405,2.3879502530089667,3.050915064396644,1.037011753822429,1.3466695023515898,0.9716273891452232,1.2873084262181458,0.0,1.2766019631368162,2.502185061109555,1.4103594405610698
Ligand 23,5.260640905359435,2.9161762583927926,1.60439953766363,1.0412900595435108,1.0641153589177603,1.1092578117043181,1.0153547522943218,4.481023131153213,2.447332818815072,1.269913392240488,0.852338969058409,0.6929589793409487,0.7939027399884927,1.2359928786961423,2.906246396825987,2.6014510580485415,3.39537362591946,0.8677865395165846,1.1315200458549752,1.397377952446842,1.1921384311979433,1.2766019631368162,0.0,2.958545473884107,1.9505583625869396
Ligand 24,3.665377085815232,1.3571499972385497,2.419652903157829,2.8201860442292745,2.8689338968982456,2.7500671269728896,2.707400540782179,2.8795104617603413,1.2140682740442035,2.41999749331421,2.751371915234113,2.927486305428988,2.7413195252900597,2.708384996384605,1.144053161917399,1.0573859418240177,2.006417468915757,2.7775550463769583,3.112005861984524,2.595411792503053,2.540731328456881,2.502185061109555,2.958545473884107,0.0,2.3030140464002096
Ligand 25,4.908077406102652,2.717946974036924,1.0001812938833594,1.7102272047742841,1.572096659071865,1.4500701082624863,1.7007227433768135,4.0938784815098614,2.3038727425313894,1.579433224032524,1.625143329634134,1.869357846361968,1.7340344376154695,1.3242233817302884,2.6989507715610617,2.472027876530161,3.2723081505098786,1.7652188571520153,1.793713751331063,1.4212035994298902,1.563377080350163,1.4103594405610698,1.9505583625869396,2.3030140464002096,0.0
